"","parent.mass.21","cluster.index.21","RTMean.21","sum.precursor.intensity..21","ConsensusScore.21","ConsensusSMILES.21","ConsensusID.21","cluster.index.20","RTMean.20","sum.precursor.intensity..20","ConsensusScore.20","ConsensusSMILES.20","ConsensusID.20"
"23",311.2,75939,13.1933,67701.46,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","238075",1108.0976,148170,"1","CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C","DTXSID6022898"
"24",311.2,75939,13.1933,67701.46,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","234292",344.114,129627,"0.674","CC1=CC(C)=C(C(=O)OC(=O)C2=C(C)C=C(C)C=C2C)C(C)=C1","DTXSID80322616"
"25",311.2,75939,13.1933,67701.46,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","234826",334.515,97113.1,"1","CC(C)(OC1=CC=C(C=C1)C1CCCC2=C1C=CC=C2)C(O)=O","DTXSID8020911"
"26",311.2,75939,13.1933,67701.46,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","234826",334.515,97113.1,"0.961","COC1=CC=C(C=C1)C(=O)CC(=O)C1=CC=C(C=C1)C(C)(C)C","DTXSID9044829"
"27",311.2,75939,13.1933,67701.46,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","234292",344.114,129627,"1","COC1=CC=C(C=C1)C(=O)CC(=O)C1=CC=C(C=C1)C(C)(C)C","DTXSID9044829"
"28",311.2,75939,13.1933,67701.46,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","237656",327.72771,5914580,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972"
"29",311.2,75939,13.1933,67701.46,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","237862",297.616,106844,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972"
"30",311.2,41645,13.4329,69660.8,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","237645",299.96055,7574140,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972"
"31",311.2,41645,13.4329,69660.8,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","234292",344.114,129627,"0.83","CC(C)(OC1=CC=C(C=C1)C1CCCC2=C1C=CC=C2)C(O)=O","DTXSID8020911"
"32",311.2,41645,13.4329,69660.8,"1","CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C","DTXSID7044972","234826",334.515,97113.1,"0.038","CC1=CC(C)=C(C(=O)OC(=O)C2=C(C)C=C(C)C=C2C)C(C)=C1","DTXSID80322616"
