"","parent.mass.21","cluster.index.21","RTMean.21","sum.precursor.intensity..21","ConsensusScore.21","ConsensusSMILES.21","ConsensusID.21","cluster.index.20","RTMean.20","sum.precursor.intensity..20","ConsensusScore.20","ConsensusSMILES.20","ConsensusID.20"
"61",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"62",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"63",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"64",211.1,"43978",9.011,13927,"0.774","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"65",211.1,"43978",9.011,13927,"0.597","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"66",211.1,"43978",9.011,13927,"0.597","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","995",113.74213,35245.8,"0.864","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"67",211.1,"43978",9.011,13927,"0.597","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","997",192.6739,47731.9,"0.04","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"68",211.1,"43978",9.011,13927,"0.597","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","994",57.91021,215271,"0.342","NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1","DTXSID2020399"
"69",211.1,"43978",9.011,13927,"0.597","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","983",112.9528,49088.2,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"70",211.1,"43978",9.011,13927,"0.597","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","997",192.6739,47731.9,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"71",211.1,"43978",9.011,13927,"0.597","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","994",57.91021,215271,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
"72",211.1,"43978",9.011,13927,"0.597","C(SCC1=CC=CC=C1)C1=CC=CC=C1","DTXSID6024599","985",191.93289,39343.9,"1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","DTXSID6052740"
"73",211.1,"31436",8.7758,12358.65,"0.787","C=CC(=O)OCCOCCOC(=O)C=C","DTXSID3025045","995",113.74213,35245.8,"1","CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C","DTXSID6020800"
