,new_id,featureid,mz.x,rt.x,det_count_v1,det_count_v2,det_count_v3,det_count_FB,df_v1,df_v2,df_v3,mean_visit1,log_mean_v1,sd_visit1,median_v1,gm_visit1,gsd_visit1,cv_visit1,mean_visit2,median_v2,sd_visit2,gm_visit2,gsd_visit2,cv_visit2,mean_visit3,sd_visit3,median_v3,gm_visit3,gsd_visit3,cv_visit3,mean_allvisit,gm_allvisit,gsd_allvisit,cv_allvisit,mean_FB,log_mean_FB,mean_DIWB,PvalV1_v3,PvalV1_V2,DFv1_min,percent_FBvV1,logFBvV1,meanv1_gt_v3,meanv1_gt_v2,geom_diff1v3,geom_diff1v2,df1v3_difference,df1v2_difference,DTXSID,Confidence,score,mz.y,rt.y,MatchCategory,theoretical.mz,delta_ppm,Compound,Formula,MonoisotopicMass,Adduct,X,parent_id,DB_name,is_metab,name_original,name_cleaned,formula_original,formula_cleaned,Molweight_cleaned,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,MC_sum,frag_yn,confirmed_frag,of_interes_prevt,acrylate,is_ucsfdrug,sig_dif1v2or3,ubiqui_MC,nitro benzene,nitro,sulfate,aniline,guanidium,nitro_sum,SWGDRUG,STATINS,UOATARGPHARMA,VETDRUGS,DRUGBANK,ANTIBIOTICS,ZINC15PHARMA,PAHLIST,drug_any,of_interest_all,of_interest_cat
1514,DTXSID9025401,225.1129-353.4,225.1129,353.4,40,38,38,8,100,100,100,47815.156,15.467038904551,15079.8288152536,50552.16,45294.2063568926,1.41021877138055,31.5377593147528,48244.5328947368,43185.315,19483.3349025571,44343.071647349,1.53084932191844,40.3845445971405,48479.0515789474,15092.3965762052,48422.44,46212.1549524992,1.37253753400992,31.1317900921133,44250.373796875,37431.9824966347,2.00529209684213,45.0381811904962,6053.61675,12.4708013296544,6879.1155,0.964119259141666,0.861125446914175,1,12.6604559232223,80.6282405223986,0,0,0,1,0,0,DTXSID9025401,3,23823.5294117647,225.1129,353.4,Multiple,225.1132331,1.48,16-Hexanedioldiacrylate,C12H18O4,226.12051,M-H,6440,,DTXSID9025401,0,"1,6-Hexanediol,diacrylate",6-prop-2-enoyloxyhexyl prop-2-enoate,C12H18O4,C12H18O4,226.1205091,"P4Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,3,NA,1,-2.267966964,22.16326324,21,NA,,1,no,notconf,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
1528,DTXSID9027653,221.1541-649.5,221.1541,649.5,40,38,38,8,100,100,100,159040.11725,17.0795942455722,89934.2913470653,136486.35,138506.508519535,1.69336405185436,56.5481797310894,135998.384473684,118697.35,60363.0604851532,127180.375160485,1.41186319337053,44.385130543101,143729.233947368,99281.2577175503,107770.75,122524.6861559,1.70678188273704,69.0752013288442,133307.000898437,96890.9478265109,2.7500820891493,67.8939851653521,5885.802125,12.4966376204987,6238.877,0.329721417086679,0.403874361179188,1,3.70082858763737,73.1670638120599,1,1,1,1,0,0,DTXSID9027653,3,27000,221.1541,649.5,Multiple,221.1547039,2.73,Isobornylmethacrylate,C14H22O2,222.16198,M-H,6495,,DTXSID9027653,0,"Isobornyl,methacrylate","[(1S,2S,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] 2-methylprop-2-enoate",C14H22O2,C14H22O2,222.1619799,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.007503,17.0601,8,NA,,0,no,notconf,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1539,DTXSID9036515,343.2272-898.9,343.2272,898.9,40,38,38,8,100,100,100,7831.6839775,11.647324821254,18231.2863971236,3184.022,3207.70292707268,3.12130263788611,232.788841448418,626126.523097368,2901.458,2495052.3741763,6116.06835863239,13.1976828235243,398.49012653762,9058.94452368421,17650.892609392,2525.4575,3465.92528979477,3.3385267131635,194.844913369814,191183.98576875,3707.96426682518,5.560708043157,719.913641153889,1970.4099625,10.7334157549734,1367.9425,0.806519634387496,0.7757168888561,1,25.1594672124269,92.1534851967646,0,0,0,0,0,0,DTXSID9036515,3,26732.6732673267,343.2272,898.9,Multiple,343.2278689,1.95,Testosteronepropionate,C22H32O3,344.23514,M-H,6571,,DTXSID9036515,0,"Testosterone,propionate","[(8R,9S,10R,13S,14S,17S)-10,13-dimethyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl] propanoate",C22H32O3,C22H32O3,344.2351449,"ERactive, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,0.392,NA,NA,NA,NA,NA,1,-5.923300622,28.50797001,33,NA,,1,no,notconf,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
1541,DTXSID9036854,267.1134-577.8,267.1134,577.8,40,38,38,1,100,100,100,50437.8178,15.4131624624905,25912.4977223256,46539.225,43633.9198197931,1.791851708321,51.3751364602566,39772.6052631579,40777.065,20091.2875481487,34823.2892129932,1.71071376455948,50.5153922284281,44966.7968421053,18085.9713189472,39673.865,42047.1917981316,1.4334718272775,40.2207241544323,40919.8434976562,38123.7518563516,2.08238193398674,60.4095100862224,16.2469625,NA,0,0.370946507805616,0.084631095796052,1,0.032211866430114,NA,1,1,1,1,0,0,DTXSID9036854,3,27000,267.1134,577.8,Multiple,267.1139018,1.88,NN-DIACETYLBENZIDINE,C16H16N2O2,268.12118,M-H,6574,,DTXSID9036854,0,"N,N'-DIACETYLBENZIDINE",N-[4-(4-acetamidophenyl)phenyl]acetamide,C16H16N2O2,C16H16N2O2,268.1211778,MC,,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,no,notconf,yes,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1544,DTXSID9040683,383.2192-874.5,383.2192,874.5,40,38,38,8,100,100,100,162158.73475,17.0705226573986,110138.560757036,126921.45,137638.319528959,1.74354438301899,67.9202146753531,161264.705526316,124526.6,97764.8182798552,136825.72617076,1.7871973453126,60.6238159557496,212817.737894737,118461.518309615,162524.75,188551.954899966,1.62345542156148,55.6633669173797,163073.35703125,121828.422760741,2.40529456563715,71.0676528881063,15516.195,13.90567328459,11944.475,0.006645701449356,0.980061607249088,1,9.56852248750048,81.460149543594,0,1,0,1,0,0,DTXSID9040683,3,27000,383.2192,874.5,Multiple,383.2227835,9.35,Megestrolacetate,C24H32O4,384.23006,M-H,6595,,DTXSID9040683,0,"Megestrol,acetate","[(8R,9S,10R,13S,14S,17R)-17-acetyl-6,10,13-trimethyl-3-oxo-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate",C24H32O4,C24H32O4,384.2300595,"VBtoxcast, MC",,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.393169412,9.501254932,15,NA,,1,no,notconf,NA,0,0,1,0,0,0,0,0,0,0,-,-,-,-,Y,-,Y,-,1,1,1
1546,DTXSID9041491,309.097-364.3,309.097,364.3,40,38,38,0,100,100,100,28753.5535325,12.7177765313272,57904.4250295935,3795.9665,6736.46742563188,5.2601072305829,201.381804736393,18893.9460447368,2927.8135,33894.6519552591,4753.39325248223,5.3354175660292,179.394245516547,24992.6540789474,51628.6125504473,2922.2955,6005.78702836169,5.25514946929604,206.575149591403,22014.319890625,5787.51512618744,5.2404567540361,213.380040348476,0,NA,0,0.884749013989204,0.334705870214035,1,0,NA,1,1,1,1,0,0,MTX1031,3,25714.2857142857,309.097,364.3,Multiple,309.0979769,3.16,,C15H18O7,310.10525,M-H,8058,DTXSID9041491,DTXSID9041491-BTMR0165,1,,,C15H18O7,C15H18O7,310.1052529,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,3,NA,NA,NA,1,-1.132315603,4.747588382,6,NA,,1,no,notconf,NA,0,0,0,1,0,0,0,0,0,0,-,-,-,-,-,-,Y,-,1,2,1
1547,DTXSID9041491,133.06566-323.5,133.06566,323.5,40,38,38,0,100,100,100,158976.549375606,16.986540082241,98844.0234858379,140014.123471828,129854.823807124,1.95399635037669,62.175222618717,105644.579755114,113309.7020352,48045.0538708188,93141.2424101098,1.74466642000745,45.4780112545177,161724.54294899,166785.863652208,90126.6531667998,106840.284213095,2.4608250192781,103.129593450027,129055.379982658,109251.657099854,2.07336807971945,92.062301192607,0,NA,0,0.224520519582037,0.019584097600817,1,0,NA,0,1,1,1,0,0,DTXSID9041491,3,27000,133.06566,323.5,Multiple,133.0658889,1.72,3-Phenyl-2-propen-1-ol,C9H10O,134.07316,M-H,6608,,DTXSID9041491,0,3-Phenyl-2-propen-1-ol,3-phenylprop-2-en-1-ol,C9H10O,C9H10O,134.0731649,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,3,NA,NA,NA,1,-1.132315603,4.747588382,6,NA,,1,no,notconf,NA,0,0,1,0,0,0,0,0,0,0,-,-,-,-,-,-,Y,-,1,1,1
1548,DTXSID9041491,213.0225-314.6,213.0225,314.6,40,38,38,8,100,100,100,1585917.5925,20.207605909236,1126344.00866324,1374215,1210864.42320413,2.16078573778582,71.0215974644497,1078946.13684211,1225661.5,558839.049364948,911660.132724353,1.88642974750023,51.7948978436103,2015463.32631579,3862886.54889876,952405.15,1023846.41572491,2.74517279865825,191.662457880591,1415054.10314062,665173.14636144,5.00468249845524,160.616618199055,8298.83,13.0082694325146,9067.8155,0.143054131112621,0.048342868732167,1,0.523282548806205,64.3731350014555,0,1,1,1,0,0,MTX1032,3,55670.1030927836,213.0225,314.6,Multiple,213.0227038,0.96,,C9H10O4S,214.02998,M-H,8059,DTXSID9041491,DTXSID9041491-BTMR0501,1,,3-phenylprop-2-enyl hydrogen sulfate,C9H10O4S,C9H10O4S,214.0299798,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,3,NA,NA,NA,1,-1.132315603,4.747588382,6,NA,,1,no,notconf,NA,0,0,1,0,0,0,0,0,0,0,-,-,-,-,-,-,Y,-,1,1,1
1549,DTXSID9041491,213.0225-323,213.0225,323,40,38,38,8,100,100,100,1566993.7475,20.1927054142268,1110027.08997907,1372912.5,1198422.69072489,2.1548350582729,70.8380037731499,1071300.78947368,1208870.5,552019.368411162,906248.171192668,1.88343880652369,51.5279531047823,1784313.76578947,2944813.58783297,955232.1,999977.144317532,2.64217888993092,165.038999546699,1338207.5158125,653979.64672184,5.01871151774056,134.884201233776,7871.030875,12.9297449761405,8622.69425,0.140344709551509,0.047218098702475,1,0.502301358097793,64.0317615242922,0,1,1,1,0,0,MTX1032,3,55670.1030927836,213.0225,323,Multiple,213.0227038,0.96,,C9H10O4S,214.02998,M-H,8059,DTXSID9041491,DTXSID9041491-BTMR0501,1,,3-phenylprop-2-enyl hydrogen sulfate,C9H10O4S,C9H10O4S,214.0299798,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,3,NA,NA,NA,1,-1.132315603,4.747588382,6,NA,,1,no,notconf,NA,0,0,1,0,0,0,0,0,0,0,-,-,-,-,-,-,Y,-,1,1,1
1550,DTXSID9041653,195.06578-340.9,195.06578,340.9,40,38,38,8,100,100,100,10519.0340591154,12.4326611902606,18905.9686254294,4508.46205551775,5528.45710400254,2.40845038463627,179.73103346924,12976.0154782655,4432.7782674098,21567.9421838157,6347.26347217145,2.77370581248002,166.213906109633,14539.9844703608,25001.8750180449,4289.06516930367,6642.62477336091,2.86474821153405,171.952556545093,11742.0436992301,5696.9104286873,2.64916090497207,178.221005542987,3272.21072867847,11.4760481719645,2608.63681490231,0.868987250951279,0.924339966977053,1,31.1075209975473,92.3056455600553,0,0,0,0,0,0,DTXSID9041653,2,10,195.06578,340.9,Multiple,195.0662829,2.58,Methyl24-dihydroxy-36-dimethylbenzoate,C10H12O4,196.07356,M-H,6613,,DTXSID9041653,0,"Methyl,2,4-dihydroxy-3,6-dimethylbenzoate","methyl 2,4-dihydroxy-3,6-dimethylbenzoate",C10H12O4,C10H12O4,196.0735589,"E2Up, exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,6.322791223,NA,,NA,NA,NA,1,3,NA,NA,NA,1,-0.812445069,6.258843881,4,NA,,1,no,notconf,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
