"","DTXSID","featureid","mz","rt","det_count_v1","det_count_v2","det_count_v3","det_count_FB","df_v1","df_v2","df_v3","mean_visit1","log_mean_v1","sd_visit1","median_v1","gm_visit1","gsd_visit1","cv_visit1","mean_visit2","median_v2","sd_visit2","gm_visit2","gsd_visit2","cv_visit2","mean_visit3","sd_visit3","median_v3","gm_visit3","gsd_visit3","cv_visit3","mean_allvisit","gm_allvisit","gsd_allvisit","cv_allvisit","mean_FB","log_mean_FB","mean_DIWB","PvalV1_v3","PvalV1_V2","DFv1_min","percent_FBvV1","logFBvV1","meanv1_gt_v3","meanv1_gt_v2","geom_diff1v3","geom_diff1v2","df1v3_difference","df1v2_difference","DB_name","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","Compound","Formula","MonoisotopicMass","Adduct","X","parent_id","is_metab","name_original","name_cleaned","formula_original","formula_cleaned","Molweight_cleaned","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","MC_sum","frag_yn","confirmed_frag","of_interest","acrylate","is_ucsfdrug","sig_dif1v2or3","ubiqui_MC","nitro benzene","nitro","sulfate","aniline","guanidium","nitro_sum","SWGDRUG","STATINS","UOATARGPHARMA","VETDRUGS","DRUGBANK","ANTIBIOTICS","ZINC15PHARMA","PAHLIST","drug_any","of_interest_all","of_interest_cat"
"11","DTXSID0020573","273.18504-1163.3",273.18504,1163.3,40,38,38,0,100,100,100,36848.6976552253,14.8846459519555,20377.8905275453,31026.1366076109,30249.967081119,2.02977307996042,55.301521693415,35581.3051049542,32815.3450514815,18891.4029863413,30401.8527942398,1.82776578564918,53.0936201767116,40142.5020020352,20702.3359878873,36305.7175320633,34039.7587755607,1.89565200110989,51.5721117404133,32965.5498202622,31494.1605033117,1.91415363649257,67.8126637353892,0,NA,0,0.392708865531071,0.916403567334355,1,0,NA,0,1,0,0,0,0,"DTXSID0020573",3,54000,"Multiple",273.184906,0.49,"17beta-Estradiol","C18H24O2","272.17763","M+H",38,"",0,"17beta-Estradiol","(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol","C18H24O2","C18H24O2",272.17763,"ERactive, VBtoxcast, MC, MGDev","",NA,NA,NA,NA,NA,NA,NA,1,"Hormone or EDC",1,1,0.935,NA,NA,NA,NA,NA,1,-7.683792469,26.24151942,67,NA,"",2,"no","notconf",NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
"12","DTXSID0020575","149.09593-613.3",149.09593,613.3,40,38,38,8,100,100,100,114230.979901306,16.7871396251731,16026.0172150516,115949.737069752,113092.178133188,1.15613572328493,14.0294841459802,112668.043339335,115926.696380653,14468.4193663532,111738.347351177,1.1406036166269,12.8416354252084,112959.13327945,15773.7288141157,113560.742585776,111865.450519493,1.15300486937393,13.9641021988837,107182.082878556,102203.101087724,1.42580878182237,24.5228206094288,40672.7883261242,15.1878916479363,41186.0331511387,0.64204240412933,0.551975987116208,1,35.6057422962361,90.4733741843749,1,1,1,1,0,0,"DTXSID0020575",3,26732.6732673267,"Multiple",149.096091,1.08,"Estragole","C10H12O","148.08882","M+H",39,"",0,"Estragole","1-methoxy-4-prop-2-enylbenzene","C10H12O","C10H12O",148.088815,"exposurepred","",NA,NA,NA,NA,NA,1,1.147383705,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"no","notconf",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"13","DTXSID0020654","197.15372-447.4",197.15372,447.4,40,38,38,8,100,100,100,54418.6501069309,15.574149775529,24493.2550346965,47400.2148227671,48784.9921448436,1.63895874965986,45.008935331119,60217.3740037856,60513.1962972699,26030.4978078634,55163.662031193,1.52853721822389,43.2275539053346,58325.9764483322,24433.3857691987,55847.8481594758,53407.166047032,1.54059355749488,41.8910873971272,51985.5424449539,43362.1725108036,1.94119997254779,53.5330979721415,11648.492742359,13.4748798252162,11163.7795562447,0.551975987116208,0.403874361179188,1,21.4053320313349,86.5208054335573,0,0,0,0,0,0,"DTXSID0020654",3,27000,"Multiple",197.1536059,0.58,"Geranylacetate","C12H20O2","196.14633","M+H",43,"",0,"Geranyl,acetate","[(2E)-3,7-dimethylocta-2,6-dienyl] acetate","C12H20O2","C12H20O2",196.1463299,"exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.138817472,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.267363979,5.963571437,2,NA,"",0,"yes","notconf",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"14","DTXSID0020733","269.12616-159.3",269.12616,159.3,40,38,38,8,100,100,100,125985.149498449,16.6111605251275,74125.3619626872,146034.777246671,100105.417410192,2.12223637835046,58.8365868975688,112238.285915893,97168.923896492,68258.7176239356,93373.2998778198,1.88745091393473,60.8158945647886,110220.836533673,61478.9514415645,109173.861845553,90327.3990621798,2.02310206818127,55.777975721299,102667.751335814,59076.1642008484,4.40588569049012,71.7536484850356,996.131730502554,9.74838772677325,1867.74351879058,0.450399924378529,0.365625144426425,1,0.790673928211526,58.685771605343,1,1,1,1,0,0,"DTXSID0020733",3,24300,"Multiple",269.124431,6.42,"ICRF-159","C11H16N4O4","268.11716","M+H",45,"",0,"ICRF-159","4-[2-(3,5-dioxopiperazin-1-yl)propyl]piperazine-2,6-dione","C11H16N4O4","C11H16N4O4",268.117155,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.043051151,4.402846381,4,NA,"",0,"yes","notconf",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"15","DTXSID0020862","269.13219-688.9",269.13219,688.9,40,38,38,8,100,100,100,28679.1276229737,14.6829804750505,9669.74078218272,31401.6977832087,26303.7427650266,1.61669604447646,33.7169976343237,28175.1800442383,30790.4736715133,9289.02790406246,26009.5374831877,1.57872498281584,32.9688324599083,26518.229884291,10359.215254495,31069.6864628333,23425.8596176615,1.77902354074055,39.0645050582039,26115.6058400927,23179.796708002,1.72864313057962,40.0400441098847,9225.94307378105,13.1485836553927,12783.00880574,0.444423328452704,0.78338662946851,1,32.1695387498136,89.5498272829211,1,1,1,1,0,0,"DTXSID0020862",2,10,"Multiple",269.1324765,1.06,"3-Methylcholanthrene","C21H16","268.1252","M+H",50,"",0,"3-Methylcholanthrene","3-methyl-1,2-dihydrobenzo[j]aceanthrylene","C21H16","C21H16",268.1252005,"VBtoxcast, MC","",NA,NA,NA,NA,NA,NA,NA,1,"PAH",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.121109596,7.594515188,12,NA,"",1,"no","notconf",NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
"16","DTXSID0020862","269.1321-459.9",269.1321,459.9,40,38,38,8,100,100,100,7139.65500696603,12.7668589454141,1630.22694620798,7109.65674164547,6969.59421050704,1.24801653784687,22.8334134438904,6818.71742425987,6692.31144650872,1688.89475243011,6631.53050944762,1.26634434531474,24.768510664796,6688.06632685467,1310.54144846057,6504.05541648923,6560.92137304576,1.22312867560435,19.5952220628904,6527.06049810715,6196.1540632724,1.41947799192562,29.1465813999421,2370.14663675641,11.1643764221822,3755.77981669802,0.16016051915645,0.269319144020575,1,33.1969350682057,87.4481066166434,1,1,1,1,0,0,"DTXSID0020862",2,10,"Multiple",269.1324765,1.4,"3-Methylcholanthrene","C21H16","268.1252","M+H",50,"",0,"3-Methylcholanthrene","3-methyl-1,2-dihydrobenzo[j]aceanthrylene","C21H16","C21H16",268.1252005,"VBtoxcast, MC","",NA,NA,NA,NA,NA,NA,NA,1,"PAH",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.121109596,7.594515188,12,NA,"",1,"no","notconf",NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
"17","DTXSID0021757","125.09622-321.8",125.09622,321.8,40,38,38,8,100,100,100,80082.6053025204,16.2008268333122,28114.6573563212,79131.512961597,75324.2526480191,1.43068370216403,35.1070713173169,85748.823821165,89651.5802163065,32813.0102707162,79479.999265537,1.50036056910894,38.2664260668461,87406.0357686732,32277.2983182954,89122.1773998585,80772.2318971411,1.52816833637571,36.9279970592875,76981.2122945028,67745.5617077085,1.72206037891863,45.7288944899621,23720.1058605724,14.526921406389,26649.2079498,0.252367215415565,0.506192211860841,1,29.6195481789924,89.6677777983452,0,0,0,0,0,0,"DTXSID0021757",3,54000,"Unique",125.096091,1.03,"1-Ethynylcyclohexanol","C8H12O","124.08882","M+H",80,"",0,"1-Ethynylcyclohexanol","1-ethynylcyclohexan-1-ol","C8H12O","C8H12O",124.088815,"exposurepred","",NA,NA,NA,NA,NA,1,34.6503152,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"no","notconf",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"18","DTXSID0021915","259.1906-508.5",259.1906,508.5,40,38,38,8,100,100,100,7927.96646891686,12.8093345118423,3743.30021674478,7264.79533939991,7177.84230125285,1.56616987971552,47.2163981951881,7983.2454735067,7359.46952310442,4391.27931946705,7040.35980788353,1.67071719853373,55.0061918306283,8752.93335424691,2865.47426611586,8663.53386187103,8244.81714018187,1.44134429618856,32.737302457873,7515.02253090778,6158.86450597216,2.12022438545171,53.8106236322085,981.001650288238,9.60188950208607,1795.99842762548,0.0846310957960517,0.924339966977053,1,12.3739379339512,74.9600964297486,0,0,0,1,0,0,"DTXSID0021915",2,10,"Multiple",259.1903853,0.83,"Diethyldecanedioate","C14H26O4","258.18311","M+H",85,"",0,"Diethyl,decanedioate","diethyl decanedioate","C14H26O4","C14H26O4",258.1831093,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.348091477,3.579394152,1,NA,"",0,"no","notconf",NA,0,0,1,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-",0,0,0
"19","DTXSID0022193","177.0909-354",177.0909,354,40,38,38,8,100,100,100,41596.8742083656,15.1352326155006,24911.8600648566,39311.6677426285,35988.1074609105,1.706437720653,59.8887789983184,34719.5286853486,34012.8893571243,13527.5228319946,32190.0052947344,1.49399099063949,38.9622882113118,34086.5972876309,11512.5683638999,34008.3552717233,32063.9271217396,1.44202589140487,33.7744723145995,33735.0962838573,29078.0236786511,1.75783155775124,56.0461106824157,10244.9858891302,13.2927439592239,11478.4037218706,0.260747895835365,0.365625144426425,1,24.6292205462635,87.8264926408214,1,1,1,1,0,0,"DTXSID0022193",2,10,"Multiple",177.0910056,0.6,"Benzylmethacrylate","C11H12O2","176.08373","M+H",93,"",0,"Benzyl,methacrylate","benzyl 2-methylprop-2-enoate","C11H12O2","C11H12O2",176.0837296,"exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,47.67365058,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.276259843,2.205313819,1,NA,"",0,"no","notconf",NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"20","DTXSID0022305","161.13257-1163.3",161.13257,1163.3,40,38,38,0,100,100,100,24537.7019562508,14.3741892432713,11177.7778222912,23557.3995385054,21235.4821262125,1.85965855388356,45.5534827271947,24046.661496076,24287.4070510962,9971.90292482278,21793.972088449,1.60931432428801,41.4689703452184,27019.7783415706,10735.9076079693,24840.6800842775,24518.2233479288,1.62328349002306,39.7335147322501,22136.6120612167,22449.4446098503,1.70198995389742,58.451652712923,0,NA,0,0.334705870214035,0.7757168888561,1,0,NA,0,1,0,0,0,0,"DTXSID0022305",3,24300,"Unique",161.1324765,0.58,"4-tert-Butylstyrene","C12H16","160.1252","M+H",97,"",0,"4-tert-Butylstyrene","1-tert-butyl-4-ethenylbenzene","C12H16","C12H16",160.1252005,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.202927297,2.90649208,1,NA,"",0,"yes","notconf",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
